"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-1.50548210791908,8.51685141061394,-14.0010746039026,2.05092995133496e-29,1.86843160894467e-27,56.2294660166486,"216745_x_at"
-2.24037884129163,8.56455303350676,-14.0010245639801,2.05157193269233e-29,1.86843160894467e-27,56.2291550800493,"242144_at"
-7.73340029342746,13.0733635388137,-13.9056934385946,3.72508137303134e-29,3.37198881136946e-27,55.636551718441,"209138_x_at"
-6.93256135235481,13.0458343868887,-13.888129079013,4.15802311299994e-29,3.74121886841971e-27,55.5273162632442,"215121_x_at"
-3.7165829313985,9.63276250072841,-13.8758417169419,4.49051187315565e-29,4.01618475074568e-27,55.450890091641,"213089_at"
-3.52806650701049,9.03492259209157,-13.8636005587504,4.84822170051803e-29,4.31029995946055e-27,55.3747438522283,"238883_at"
-2.536283807236,8.93743154630593,-13.8238013516311,6.22054558354677e-29,5.49763720922216e-27,55.1271217478223,"242865_at"
-2.15580575157695,10.5261646468262,-13.8204189629875,6.35374056371954e-29,5.582321709395e-27,55.1060737124167,"242608_x_at"
-4.60810029421185,11.8218021708637,-13.8171299835639,6.48599507068926e-29,5.66519429098332e-27,55.0856064198268,"201010_s_at"
-1.56078353279733,7.69401396024974,-13.705266698135,1.30742481415762e-28,1.12876861411897e-26,54.3891801135716,"243612_at"
-2.66731225584208,10.3166428493236,-13.683600900869,1.49764993495926e-28,1.28556893267537e-26,54.2542296661336,"214753_at"
-2.66805173446743,8.37648405015609,-13.6576499181366,1.76231728752727e-28,1.50411262894327e-26,54.0925607861256,"235925_at"
-4.62280336908847,9.57652715234131,-13.6509621501504,1.83780485913081e-28,1.55962803272601e-26,54.0508927332107,"220532_s_at"
-2.52490328234794,8.44304375546306,-13.6309361106229,2.08376579168776e-28,1.75836869291798e-26,53.9261092794363,"239348_at"
-1.79997695545315,8.07237318896982,-13.6217790728906,2.20696051337443e-28,1.8518630465034e-26,53.8690455466533,"243088_at"
